Series Name,Series Code,Country Name,Country Code,2016 [YR2016]
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Afghanistan,AFG,17.4458279431472
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Albania,ALB,42.3858791506381
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Algeria,DZA,37.1558265686035
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,American Samoa,ASM,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Andorra,AND,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Angola,AGO,80.7789688110352
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Antigua and Barbuda,ATG,2.06004309654236
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Argentina,ARG,9.29496574401855
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Armenia,ARM,161.228881835938
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Aruba,ABW,1.35504460334778
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Australia,AUS,1.450156
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Austria,AUT,0.776931
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Azerbaijan,AZE,0.43090146780014
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,"Bahamas, The",BHS,0.924120187759399
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Bahrain,BHR,0.189881026744843
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Bangladesh,BGD,28.4988307952881
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Barbados,BRB,2.11886811256409
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Belarus,BLR,0.563757061958313
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Belgium,BEL,0.781011
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Belize,BLZ,1.34227430820465
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Benin,BEN,214.433868408203
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Bermuda,BMU,1.39972507953644
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Bhutan,BTN,18.8310470581055
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Bolivia,BOL,2.83471202850342
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Bosnia and Herzegovina,BIH,0.675567653144833
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Botswana,BWA,4.57505702972412
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Brazil,BRA,2.13308167457581
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,British Virgin Islands,VGB,1.09753751754761
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Brunei Darussalam,BRN,0.666354417800903
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Bulgaria,BGR,0.666665740830753
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Burkina Faso,BFA,215.196685791016
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Burundi,BDI,585.893188476563
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Cabo Verde,CPV,49.364143371582
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Cambodia,KHM,1402.13061523438
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Cameroon,CMR,237.443756103516
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Canada,CAN,1.207045
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Cayman Islands,CYM,0.981255233287811
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Central African Republic,CAF,280.047790527344
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Chad,TCD,246.884414672852
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Channel Islands,CHI,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Chile,CHL,397.250703
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,China,CHN,3.98883724212646
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Colombia,COL,1293.741161
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Comoros,COM,197.570556640625
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,"Congo, Dem. Rep.",COD,494.126708984375
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,"Congo, Rep.",COG,316.625274658203
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Costa Rica,CRI,341.518645
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Cote d'Ivoire,CIV,252.410827636719
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Croatia,HRV,3.38201841487633
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Cuba,CUB,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Curacao,CUW,1.41097772121429
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Cyprus,CYP,0.622328384740373
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Czech Republic,CZE,12.576343
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Denmark,DNK,7.079856
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Djibouti,DJI,106.126457214355
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Dominica,DMA,1.82589673995972
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Dominican Republic,DOM,20.8188934326172
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Ecuador,ECU,0.549206554889679
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,"Egypt, Arab Rep.",EGY,2.56308174133301
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,El Salvador,SLV,0.473463237285614
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Equatorial Guinea,GNQ,267.943145751953
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Eritrea,ERI,5.80938456725236
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Estonia,EST,0.527849
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Eswatini,SWZ,5.78786039352417
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Ethiopia,ETH,8.05592060089111
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Faroe Islands,FRO,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Fiji,FJI,0.937128186225891
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Finland,FIN,0.880895
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,France,FRA,0.780044
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,French Polynesia,PYF,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Gabon,GAB,289.720794677734
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,"Gambia, The",GMB,14.4826145172119
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Georgia,GEO,0.747672736644745
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Germany,DEU,0.752608
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Ghana,GHA,1.54423666000366
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Gibraltar,GIB,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Greece,GRC,0.58858
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Greenland,GRL,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Grenada,GRD,1.7301242351532
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Guam,GUM,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Guatemala,GTM,3.85765671730042
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Guinea,GIN,3159.34155273438
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Guinea-Bissau,GNB,224.407043457031
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Guyana,GUY,106.229804992676
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Haiti,HTI,25.2604694366455
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Honduras,HND,10.3925352096558
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,"Hong Kong SAR, China",HKG,5.93228912353516
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Hungary,HUN,132.033797
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Iceland,ISL,140.02995
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,India,IND,19.8987274169922
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Indonesia,IDN,4518.10400390625
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,"Iran, Islamic Rep.",IRN,11796.810546875
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Iraq,IRQ,570.484985351563
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Ireland,IRL,0.794289
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Isle of Man,IMN,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Israel,ISR,3.788511
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Italy,ITA,0.700544
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Jamaica,JAM,65.903694152832
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Japan,JPN,105.519502
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Jordan,JOR,0.313839644193649
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Kazakhstan,KAZ,110.82453918457
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Kenya,KEN,39.3849563598633
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Kiribati,KIR,0.965450820285795
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,"Korea, Dem. People’s Rep.",PRK,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,"Korea, Rep.",KOR,858.809687
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Kosovo,XKX,0.339377717152794
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Kuwait,KWT,0.186951458454132
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Kyrgyz Republic,KGZ,16.7373352050781
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Lao PDR,LAO,2759.42553710938
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Latvia,LVA,0.484535
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Lebanon,LBN,742.686105697797
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Lesotho,LSO,5.01154088973999
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Liberia,LBR,0.518197656292429
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Libya,LBY,0.505056907794618
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Liechtenstein,LIE,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Lithuania,LTU,0.43844
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Luxembourg,LUX,0.851894
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,"Macao SAR, China",MAC,5.11785411834717
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Madagascar,MDG,941.010864257813
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Malawi,MWI,221.197341918945
